source,title,authors,doi,arxiv_id,published_date,year,container_title,venue,publisher,abstract,keywords,is_open_access,url,download_url,local_path,download_date,citation_count,type
crossref,Carbon dioxide emission trends and environmental problems in Central Europe,,10.37473/fic/10.19041/apstract/2021/1-2/6,,,,,,,,,True,https://doi.org/10.37473/fic/10.19041/apstract/2021/1-2/6,https://ageconsearch.umn.edu/record/339831/files/Rabbi.pdf,carbon_papers\Carbon dioxide emission trends and environmental problems in Central Europe.pdf,,,component
crossref,Study on Carbon Emission Reduction Countermeasures Based on Carbon Emission Influencing Factors and Trends,Tang Xinfa; Liu Shuai; Wang Yonghua; Wan Youwei,10.21203/rs.3.rs-3242395/v1,,2023-09-06,,,,,,,True,https://doi.org/10.21203/rs.3.rs-3242395/v1,https://www.researchsquare.com/article/rs-3242395/latest.pdf,carbon_papers\Study on Carbon Emission Reduction Countermeasures Based on Carbon Emission Influencing Factors and Trends.pdf,2025-05-14,,posted-content
crossref,Carbon Tax or Emission Trading Scheme: Which is Better to Reduce Carbon Emission?,Hyesu Im; Young-Han Kim,10.2139/ssrn.4129081,,2022,,SSRN Electronic Journal,,,,,False,https://doi.org/10.2139/ssrn.4129081,,,,,journal-article
crossref,Carbon emission measurement method for electric-hydrogen coupling systems based on carbon emission flow and carbon emission allocation,Xin Zhao; Yanqi Chen; Langbo Hou; Bo Zhang,10.1088/1742-6596/2932/1/012012,,2025-01-01,,Journal of Physics: Conference Series,,,,,True,https://doi.org/10.1088/1742-6596/2932/1/012012,https://doi.org/10.1088/1742-6596/2932/1/012012,carbon_papers\Carbon emission measurement method for electric-hydrogen coupling systems based on carbon emission flow and carbon emission allocation.pdf,2025-05-14,,journal-article
crossref,Relationship between carbon emission reduction and carbon finance—a study on promoting carbon emission reduction through carbon financing,Shanming Zhang; Liyan Wang,10.2495/meee20130941,,2013-07-01,,WIT Transactions on Engineering Sciences,,,,,False,https://doi.org/10.2495/meee20130941,,,,,proceedings-article
crossref,High electron emission from branched tree-like carbon nanotubes suitable for field emission applications,S. Darbari; Y. Abdi; S. Mohajerzadeh; E. Asl Soleimani,10.1016/j.carbon.2010.03.022,,2010-08,,Carbon,,,,,False,https://doi.org/10.1016/j.carbon.2010.03.022,,,,,journal-article
crossref,Carbon Emission Performance Research Based on the “Full Carbon Emission”,Xue Hua Zhang; Xiang Li,10.4028/www.scientific.net/amr.1010-1012.1889,,2014-08,,Advanced Materials Research,,,,,False,https://doi.org/10.4028/www.scientific.net/amr.1010-1012.1889,,,,,journal-article
crossref,Economic Consequences of Carbon Tax and Carbon Emission Trading Scheme in Intensive Carbon Emission Enterprises,Qiao Liang Zhang; Jing Wen Cao; Sheng Zhong,10.4028/www.scientific.net/amr.962-965.1717,,2014-06,,Advanced Materials Research,,,,,False,https://doi.org/10.4028/www.scientific.net/amr.962-965.1717,,,,,journal-article
crossref,The Carbon Emission Reduction Effect of Carbon Emission Trading Policy in China,Kunli Tang,10.54097/hbem.v18i.12400,,2023-10-15,,"Highlights in Business, Economics and Management",,,,,False,https://doi.org/10.54097/hbem.v18i.12400,,,,,journal-article
crossref,Relationship between carbon emission reduction and carbon finance—a study on promoting carbon emission reduction through carbon financing,Shanming Zhang; Liyan Wang,10.2495/meee130941,,2013-07-01,,WIT Transactions on Engineering Sciences,,,,,False,https://doi.org/10.2495/meee130941,,,,,proceedings-article
crossref,The impact of low-carbon city pilots on carbon emission – new evidence from high-resolution carbon emission data,Pengyu Chen,10.1108/k-03-2022-0341,,2022-08-11,,Kybernetes,,,,,False,https://doi.org/10.1108/k-03-2022-0341,,,,,journal-article
crossref,,Pierre Legagneux,10.1049/iet-tv.46.294,,,,,,,,,False,https://doi.org/10.1049/iet-tv.46.294,,,,,component
crossref,"Carbon Emission Reduction—Carbon Tax, Carbon Trading, and Carbon Offset",Wen-Hsien Tsai,10.3390/en13226128,,2020-11-23,,Energies,,,,,True,https://doi.org/10.3390/en13226128,https://www.mdpi.com/1996-1073/13/22/6128/pdf,"carbon_papers\Carbon Emission Reduction—Carbon Tax, Carbon Trading, and Carbon Offset.pdf",2025-05-14,,journal-article
crossref,Figure A.22. Carbon dioxide (CO2) emission trends,,10.1787/888932977980,,,,,,,,,False,https://doi.org/10.1787/888932977980,,,,,component
crossref,"Carbon Emission Uncertainty, Cost of Debt and Carbon Communication: Evidence from Australian Companies",; Liang Yuan,10.14264/1ceefca,,,,,,,,,False,https://doi.org/10.14264/1ceefca,,,,,dissertation
crossref,The Impact of Limited Carbon Emission on Supply Chain and Emission Cost,Thina Ardliana; I Pujawan; Nurhadi Siswanto,10.5220/0010944500003260,,2021,,Proceedings of the 4th International Conference on Applied Science and Technology on Engineering Science,,,,,True,https://doi.org/10.5220/0010944500003260,https://doi.org/10.5220/0010944500003260,carbon_papers\The Impact of Limited Carbon Emission on Supply Chain and Emission Cost.pdf,2025-05-14,,proceedings-article
crossref,"Figure 1.7. Carbon dioxide (CO2) emission levels, 2010",,10.1787/888932976764,,,,,,,,,False,https://doi.org/10.1787/888932976764,,,,,component
crossref,Research on the Spatial Spillover Effect of Carbon Emission Trading on Carbon Emission Intensity,Zeyu Zhang,10.54097/fgdfge86,,2024-12-28,,"Highlights in Business, Economics and Management",,,,,False,https://doi.org/10.54097/fgdfge86,,,,,journal-article
crossref,Thermionic emission of amorphous diamond and field emission of carbon nanotubes,Ming-Chi Kan; Jow-Lay Huang; James C. Sung; Kuei-Hsien Chen; Bao-Shun Yau,10.1016/s0008-6223(03)00414-7,,2003,,Carbon,,,,,False,https://doi.org/10.1016/s0008-6223(03)00414-7,,,,,journal-article
crossref,DETERMINAN CARBON EMISSION DISCLOSURE DI INDONESIA,Muhammad Yusuf,10.14710/jaa.17.1.131-157,,2021-05-05,,JURNAL AKUNTANSI DAN AUDITING,,,,,True,https://doi.org/10.14710/jaa.17.1.131-157,https://ejournal.undip.ac.id/index.php/akuditi/article/download/38036/19300,carbon_papers\DETERMINAN CARBON EMISSION DISCLOSURE DI INDONESIA.pdf,2025-05-14,,journal-article
crossref,Thermionic emission properties of novel carbon nanostructures.,Andriy Sherehiy,10.18297/etd/1767,,,,,,,,,True,https://doi.org/10.18297/etd/1767,https://ir.library.louisville.edu/cgi/viewcontent.cgi?article=2768&context=etd,carbon_papers\Thermionic emission properties of novel carbon nanostructures..pdf,2025-05-14,,dissertation
crossref,Carbon emission allowance price forecasting for China Guangdong carbon emission exchange via the neural network,Bingzi Jin; Xiaojie Xu,10.18282/gfr.v6i1.3491,,2024-07-22,,Global Finance Review,,,,,False,https://doi.org/10.18282/gfr.v6i1.3491,,,,,journal-article
crossref,Agricultural carbon emission and agrifood sustainability: Scale-up of highly variable spatial data,,10.56669/kqwz7884,,2024-09,,Strategy and Actions to Incentivize GHG Emission Reductions and Carbon Offset within Sustainable Agrifood Systems,,,,,False,https://doi.org/10.56669/kqwz7884,,,,,proceedings-article
crossref,K-emission from glassy carbon,R.R. Saxena; R.H. Bragg,10.1016/0008-6223(74)90028-1,,1974-04,,Carbon,,,,,False,https://doi.org/10.1016/0008-6223(74)90028-1,,,,,journal-article
crossref,Model for field emission from carbon nanotubes,; Kamol Tantanasiriwong,10.58837/chula.the.2005.1173,,,,,,,,,False,https://doi.org/10.58837/chula.the.2005.1173,,,,,dissertation
crossref,Figure 2: Carbon emission from industrial and transportation sector.,,10.7717/peerj-cs.2591/fig-2,,,,,,,,,False,https://doi.org/10.7717/peerj-cs.2591/fig-2,,,,,component
crossref,Standardization of Ocean Negative Carbon Emission Technologies and Carbon Neutrality,Yanli Lei; Ningyuan Xu,10.5194/oos2025-925,,2025-03-25,,,,,,,False,https://doi.org/10.5194/oos2025-925,,,,,posted-content
crossref,Carbon Abatement and Leakage in Chinas Regional Carbon Emission Trading,,10.1021/acs.est.4c04738.s001,,,,,,,,,True,https://doi.org/10.1021/acs.est.4c04738.s001,https://doi.org/10.1021/acs.est.4c04738.s001,,,,component
crossref,Can Carbon Emission Trading Policy Enhance the Synergistic Emission Reduction of Carbon Dioxide and Air Pollutants? A Comparative Study Considering Different Pollutants,Chen Zhihao; He Yong; Liao Nuo,10.2139/ssrn.4788337,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.4788337,,,,,posted-content
crossref,Mathematical models for vehicular carbon dioxide emission,; Pita Donald,10.58694/20.500.12479/2932,,,,,,,,,False,https://doi.org/10.58694/20.500.12479/2932,,,,,dissertation
crossref,"Carbon Emission Disclosure, Intellectual Capital, Capital  Structure on Financial Performance and Firm Value",Nafi'atuz Zulfah; Eny Maryanti,10.21070/ups.3994,,2024-02-20,,,,,,,False,https://doi.org/10.21070/ups.3994,,,,,posted-content
crossref,Secondary electron emission in a triode carbon nanotube field emission display and its influence on the image quality,Haiyan Hao; Peng Liu; Jie Tang; Qi Cai; Shoushan Fan,10.1016/j.carbon.2012.04.070,,2012-09,,Carbon,,,,,False,https://doi.org/10.1016/j.carbon.2012.04.070,,,,,journal-article
crossref,Regional classification of carbon emissions and carbon emission indices,Wenju Wang,10.4324/9781003388500-12,,2023-03-03,,Price Analysis of China's Carbon Emissions,,,,,False,https://doi.org/10.4324/9781003388500-12,,,,,book-chapter
crossref,Impact of Corporate Green Innovation on Carbon Emission Efficiency based on Carbon Emission Policies,Yingxue Zheng,10.37394/23207.2025.22.41,,2025-04-04,,WSEAS TRANSACTIONS ON BUSINESS AND ECONOMICS,,,,,True,https://doi.org/10.37394/23207.2025.22.41,https://doi.org/10.37394/23207.2025.22.41,carbon_papers\Impact of Corporate Green Innovation on Carbon Emission Efficiency based on Carbon Emission Policies.pdf,2025-05-14,,journal-article
crossref,Equilibrium pricing for carbon emission in response to the target of carbon emission peaking,Zhehao Huang; Hao Dong; Shuaishuai Jia,10.1016/j.eneco.2022.106160,,2022-08,,Energy Economics,,,,,False,https://doi.org/10.1016/j.eneco.2022.106160,,,,,journal-article
crossref,Carbon emission accounting in China,Wenju Wang,10.4324/9781003388500-3,,2023-03-03,,Price Analysis of China's Carbon Emissions,,,,,False,https://doi.org/10.4324/9781003388500-3,,,,,book-chapter
crossref,Strategies and actions to incentivize emission reductions and carbon offset within sustainable agrifood system,,10.56669/anju2322,,2024-09,,Strategy and Actions to Incentivize GHG Emission Reductions and Carbon Offset within Sustainable Agrifood Systems,,,,,False,https://doi.org/10.56669/anju2322,,,,,proceedings-article
crossref,Energy Retrofitting: The Technique to Reduce Carbon Emission,,10.21275/v5i3.nov162012,,2016-03-05,,International Journal of Science and Research (IJSR),,,,,True,https://doi.org/10.21275/v5i3.nov162012,https://doi.org/10.21275/v5i3.nov162012,carbon_papers\Energy Retrofitting: The Technique to Reduce Carbon Emission.pdf,2025-05-14,,journal-article
crossref,Natural gas. Calculation of carbon dioxide emission factors from composition,,10.3403/30287939u,,,,,,,,,False,https://doi.org/10.3403/30287939u,,,,,standard
crossref,Factors effecting field emission from multiwalled carbon nanotubes,; Abhilash Krishna,10.31390/gradschool_theses.2854,,,,,,,,,True,https://doi.org/10.31390/gradschool_theses.2854,https://repository.lsu.edu/cgi/viewcontent.cgi?article=3853&context=gradschool_theses,carbon_papers\Factors effecting field emission from multiwalled carbon nanotubes.pdf,2025-05-14,,dissertation
crossref,Effect Analysis of China's Carbon Emission Trading Pilot Policy on Carbon Emission Control,Chenyu Wang,10.54254/2754-1169/75/20241750,,2024-04-17,,"Advances in Economics, Management and Political Sciences",,,,,False,https://doi.org/10.54254/2754-1169/75/20241750,,,,,journal-article
crossref,"Review for ""Emission rate of carbon dioxide while sleeping""",,10.1111/ina.12911/v2/review1,,2021-06-27,,,,,,,True,https://doi.org/10.1111/ina.12911/v2/review1,https://doi.org/10.1111/ina.12911/v2/review1,,,,peer-review
crossref,Pricing and Emission Reduction Strategy of Manufacturer with Carbon Emission Constraints in Low Carbon Supply Chain,Xi Liang; Yu Xiong; Yunzhang Hou; Senmao Xia,10.2139/ssrn.2267433,,2013,,SSRN Electronic Journal,,,,,False,https://doi.org/10.2139/ssrn.2267433,,,,,journal-article
crossref,Government Competition and Carbon Emission Efficiency,Jun Han,10.2139/ssrn.4790088,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.4790088,,,,,posted-content
crossref,Natural gas. Calculation of carbon dioxide emission factors from composition,,10.3403/30287939,,,,,,,,,False,https://doi.org/10.3403/30287939,,,,,standard
crossref,Research on the Impact of Carbon Emission Standard and Carbon Tax on Emission Reduction of Duopoly and Social Welfare,Xu Hao,10.35534/pss.0701015,,2025,,Progress in Social Sciences,,,,,False,https://doi.org/10.35534/pss.0701015,,,,,journal-article
crossref,Effects of Emission Trading Scheme (ETS) on change rate of carbon emission,Hail Jung; Chang-Keun Song,10.21203/rs.3.rs-2262293/v1,,2022-11-15,,,,,,,True,https://doi.org/10.21203/rs.3.rs-2262293/v1,https://www.nature.com/articles/s41598-023-28154-6.pdf,carbon_papers\Effects of Emission Trading Scheme (ETS) on change rate of carbon emission.pdf,2025-05-14,,posted-content
crossref,Carbon emission reduction dynamic decision-making in the electricity supply chain with different carbon emission allowance principles,Jiahang Yuan; Li Wang; Yun Li,10.1016/j.energy.2024.133563,,2024-12,,Energy,,,,,False,https://doi.org/10.1016/j.energy.2024.133563,,,,,journal-article
crossref,"Review for ""Emission rate of carbon dioxide while sleeping""",,10.1111/ina.12911/v1/review2,,2021-06-02,,,,,,,True,https://doi.org/10.1111/ina.12911/v1/review2,https://doi.org/10.1111/ina.12911/v1/review2,,,,peer-review
crossref,Carbon Emission Prediction Based on Stacking Model and Shift of Carbon Emission Focus Under the Covid-19: A Case Study of Guangdong Province,Zeyan Li; Xiaoping Wang; Libing Chen; Shu Wang,10.2139/ssrn.4768364,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.4768364,,,,,posted-content
crossref,Figure 2: Closing price of carbon emission rights in Hubei and Guangzhou carbon markets from 2018 to 2024.,,10.7717/peerj-cs.2827/fig-2,,,,,,,,,False,https://doi.org/10.7717/peerj-cs.2827/fig-2,,,,,component
crossref,"Figure 1.6. Carbon dioxide (CO2) emission intensities per capita, 2010",,10.1787/888932976745,,,,,,,,,False,https://doi.org/10.1787/888932976745,,,,,component
crossref,Field emission from carbon nanotubes on a graphitized carbon fabric,R.B. Rakhi; K. Sethupathi; S. Ramaprabhu,10.1016/j.carbon.2008.07.024,,2008-11,,Carbon,,,,,False,https://doi.org/10.1016/j.carbon.2008.07.024,,,,,journal-article
crossref,"Review for ""Emission rate of carbon dioxide while sleeping""",,10.1111/ina.12911/v1/review3,,2021-06-03,,,,,,,True,https://doi.org/10.1111/ina.12911/v1/review3,https://doi.org/10.1111/ina.12911/v1/review3,,,,peer-review
crossref,Carbon Emission Disclosure and Carbon Premium——Evidence from The Chinese Bond Market,Xiaohan Si; Shuai zhang,10.2139/ssrn.4866888,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.4866888,,,,,posted-content
crossref,Saturation of emission current from carbon nanotube field emission array,Seong Chu Lim,10.1063/1.1420094,,2001,,AIP Conference Proceedings,,,,,False,https://doi.org/10.1063/1.1420094,,,,,proceedings-article
crossref,Electric Vehicles: Impact on Carbon Emission and Environment,Gurdev Singh,10.21275/sr24620182752,,2024-06-05,,International Journal of Science and Research (IJSR),,,,,True,https://doi.org/10.21275/sr24620182752,https://doi.org/10.21275/sr24620182752,carbon_papers\Electric Vehicles: Impact on Carbon Emission and Environment.pdf,2025-05-14,,journal-article
crossref,Research on the Peak Carbon Dioxide Emission Strategy of Chinese Port Based on Carbon Emission Estimation,Shenghai Fan; Ziai Lu,10.3389/fenvs.2021.789970,,2022-01-28,,Frontiers in Environmental Science,,,,,True,https://doi.org/10.3389/fenvs.2021.789970,https://www.frontiersin.org/articles/10.3389/fenvs.2021.789970/pdf,carbon_papers\Research on the Peak Carbon Dioxide Emission Strategy of Chinese Port Based on Carbon Emission Estimation.pdf,2025-05-14,,journal-article
crossref,Carbon Tax Implementation in Transportation Sector to Encourage Low Carbon Emission,Diaz Pranita; Sri Sarjana,10.20944/preprints202502.1801.v1,,2025-02-25,,,,,,,True,https://doi.org/10.20944/preprints202502.1801.v1,https://doi.org/10.20944/preprints202502.1801.v1,carbon_papers\Carbon Tax Implementation in Transportation Sector to Encourage Low Carbon Emission.pdf,2025-05-14,,posted-content
crossref,Carbon Reductions and Net Zero Carbon Solutions,Henry K.H. Wang,10.4324/9781003142348-10,,2023-02-24,,The Roadmap for Sustainable Business and Net Zero Carbon Emission,,,,,False,https://doi.org/10.4324/9781003142348-10,,,,,book-chapter
crossref,Modeling and Simulation of Carbon Emission Related Issues,,10.3390/books978-3-03921-312-2,,2019-08-20,,,,,,,True,https://doi.org/10.3390/books978-3-03921-312-2,https://www.mdpi.com/1996-1073/12/13/2531/pdf,carbon_papers\Modeling and Simulation of Carbon Emission Related Issues.pdf,2025-05-14,,edited-book
crossref,Electron field emission from transparent multiwalled carbon nanotube sheets for inverted field emission displays,Alexander A. Kuznetzov; Sergey B. Lee; Mei Zhang; Ray H. Baughman; Anvar A. Zakhidov,10.1016/j.carbon.2009.08.009,,2010-01,,Carbon,,,,,False,https://doi.org/10.1016/j.carbon.2009.08.009,,,,,journal-article
crossref,,,10.1117/12.2231357.5163995434001,,,,,,,,,False,https://doi.org/10.1117/12.2231357.5163995434001,,,,,component
crossref,Emission characteristics of matrix carbon field emission cathodes with large current conditions,,10.1109/ivmc.1997.627688,,1997,,10th International Conference on Vacuum Microelectronics,,,,,False,https://doi.org/10.1109/ivmc.1997.627688,,,,,proceedings-article
crossref,"Figure 1.10. Change in carbon dioxide (CO2) emission intensities, since 1990",,10.1787/888932976821,,,,,,,,,False,https://doi.org/10.1787/888932976821,,,,,component
crossref,Future Cities Carbon Emission Models: Hybrid Vehicle Emission Modelling for Low-Emission Zones,Maksymilian Mądziel,10.3390/en16196928,,2023-10-02,,Energies,,,,,True,https://doi.org/10.3390/en16196928,https://www.mdpi.com/1996-1073/16/19/6928/pdf?version=1696250164,carbon_papers\Future Cities Carbon Emission Models: Hybrid Vehicle Emission Modelling for Low-Emission Zones.pdf,,,journal-article
crossref,Carbon emission reduction progress of pledging New Zealand corporates,; Adam Crisp,10.26686/wgtn.19304354,,,,,,,,,True,https://doi.org/10.26686/wgtn.19304354,https://openaccess.wgtn.ac.nz/articles/thesis/Carbon_emission_reduction_progress_of_pledging_New_Zealand_corporates/19304354/1/files/34288868.pdf,,,,dissertation
crossref,Quantum-mechanical simulations of field emission from carbon nanotubes,A Mayer; Ph Lambin,10.1016/s0008-6223(01)00127-0,,2002-03,,Carbon,,,,,False,https://doi.org/10.1016/s0008-6223(01)00127-0,,,,,journal-article
crossref,Carbon resource reallocation with emission quota in carbon emission trading system,Qingxian An; Kefan Zhu; Beibei Xiong; Zhiyang Shen,10.1016/j.jenvman.2022.116837,,2023-02,,Journal of Environmental Management,,,,,False,https://doi.org/10.1016/j.jenvman.2022.116837,,,,,journal-article
crossref,"Carbon Emission, Voluntary Carbon Disclosure and Firm Value",Zhao-Yong Sun; Shu-Ning Wang; Dongdong Li,10.21203/rs.3.rs-1212297/v1,,2022-02-15,,,,,,,False,https://doi.org/10.21203/rs.3.rs-1212297/v1,,,,,posted-content
crossref,Bi-Level Optimization of Integrated Energy System Considering Carbon Trading and Life Cycle Carbon Emission,Lizhuang Huang,10.2139/ssrn.5024493,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.5024493,,,,,posted-content
crossref,Research on carbon emission and pull effect of carbon emission of construction sector based on Input-Output analysis,Zhihui Zhang; Ruijie Liu,10.1109/rsete.2011.5964566,,2011-06,,"2011 International Conference on Remote Sensing, Environment and Transportation Engineering",,,,,False,https://doi.org/10.1109/rsete.2011.5964566,,,,,proceedings-article
crossref,Low-carbon development path based on carbon emission accounting and carbon emission performance evaluation: a case study of Chinese coal production enterprises,Fan Chen; Yang Liu; Ruijin Li,10.1007/s11356-024-34133-9,,2024-07-05,,Environmental Science and Pollution Research,,,,,False,https://doi.org/10.1007/s11356-024-34133-9,,,,,journal-article
crossref,"Spatiotemporal heterogeneity, convergence and its impact factors: Perspective of carbon emission intensity and carbon emission per capita considering carbon sink effect",Yu Cui; Sufyan Ullah Khan; Yue Deng; Minjuan Zhao,10.1016/j.eiar.2021.106699,,2022-01,,Environmental Impact Assessment Review,,,,,False,https://doi.org/10.1016/j.eiar.2021.106699,,,,,journal-article
crossref,Field Emission,,10.1201/9780203494936-12,,2004-07-28,,Carbon Nanotubes,,,,,False,https://doi.org/10.1201/9780203494936-12,,,,,book-chapter
crossref,Carbon Leakage in China's Emission Trading System,Meiling Li,10.2139/ssrn.4808849,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.4808849,,,,,posted-content
crossref,Inter-industry allocation of carbon emission indices,Wenju Wang,10.4324/9781003388500-10,,2023-03-03,,Price Analysis of China's Carbon Emissions,,,,,False,https://doi.org/10.4324/9781003388500-10,,,,,book-chapter
crossref,Research on Carbon Emission Measurement Method Based on Carbon Emission Reduction of Power Grid Supply Chain,Yuan Zhang; Shu Xia; Fan Yang,10.1109/acfpe56003.2022.9952344,,2022-10,,2022 Asian Conference on Frontiers of Power and Energy (ACFPE),,,,,False,https://doi.org/10.1109/acfpe56003.2022.9952344,,,,,proceedings-article
crossref,Carbon emission reduction and hydrogen production maximization from carbon emission-based hydrogen sources,Johnson Kehinde Abifarin; Fredah Batale Abifarin,10.1007/s11356-024-34229-2,,2024-07-12,,Environmental Science and Pollution Research,,,,,True,https://doi.org/10.1007/s11356-024-34229-2,https://link.springer.com/content/pdf/10.1007/s11356-024-34229-2.pdf,carbon_papers\Carbon emission reduction and hydrogen production maximization from carbon emission-based hydrogen sources.pdf,2025-05-14,,journal-article
crossref,Carbon Footprints and Greenhouse Gas Emission Savings of Alternative Synthetic Biofuels,,10.1201/b18929-9,,2015-09-22,,The Carbon Footprint Handbook,,,,,False,https://doi.org/10.1201/b18929-9,,,,,book-chapter
crossref,Study on Carbon Emission from Sludge Drying and Incineration Process,Shasha Ji,10.5220/0008188802730277,,2018,,The Second International Conference on Materials Chemistry and Environmental Protection,,,,,False,https://doi.org/10.5220/0008188802730277,,,,,proceedings-article
crossref,Carbon Emission Characteristics In Wastewater Systems And Advances In Carbon Emission Reduction Technologies,Heqing Zhang; Jinqi Yu; Zhexiao Wang; Qingyuan Tong; Lei Sun; Song Xue; Tong Yang; Wenqiang Zhang; Roujia Du; Zhuoyuan Xiao,10.2139/ssrn.4948176,,2024,,,,,,,False,https://doi.org/10.2139/ssrn.4948176,,,,,posted-content
crossref,,,10.1117/12.2290122.5751512417001,,,,,,,,,False,https://doi.org/10.1117/12.2290122.5751512417001,,,,,component
